,Unnamed: 0,expt_n,environment,environment_info,data_file,Model_name,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,Round,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
0,0,0,MS,PHM C01 MS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_MS_NoNBD.mdl,0.5,-1,-40,0.12,0.9,0,0,1000,348,PHM_C01_MS,Separate test set.,40,10,results/MRL2,,100,70,0,1.0,0.3349999999999999,0.501017501017501,0.714233682983683,0.0,0.0337474278855276,0.0375995347740686,0.0304461425531365,0.5156955624355005,0.545,0.5261947510127489,0.518942623236978,0.0674053688944891,0.0926462807312486,0.0661454954246979,0.0630803623452622,0.96,0.175,0.2938550724637681,0.4993055555555555,0.0843274042711567,0.0353553390593273,0.047982236672094,0.0522451190939,0.457387260572245,0.365,0.4016402931108813,0.4316683754841649,0.1012216111935307,0.0914391114956346,0.0830870050039498,0.0872121779046793,models/0_0_PHM_C01_MS_NoNBD__RF_Model_01-Jul-2023_23-53_1.00_0.33_0.71.mdl,184.08706307411197,27.5873122215271,1.499671220779419,26.118905067443848
1,1,1,MS,PHM C04 MS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_MS_NoNBD.mdl,0.5,-1,-40,0.098,0.9,0,0,1000,348,PHM_C04_MS,Separate test set.,40,10,results/MRL2,,100,70,0,0.7479365079365079,0.29,0.4138899414761483,0.5615967365967366,0.1392902741230432,0.0737864787372621,0.0887804864052909,0.101981228899522,0.4113095238095238,0.13,0.196041921041921,0.2838723776223776,0.2425582051121358,0.0788810637746615,0.1156191823155039,0.1638484304056291,0.5064777327935223,0.995,0.6712059224624976,0.5616044162555791,0.0092256116998237,0.0158113883008419,0.0096469483354413,0.0093719914636548,0.5399140405630176,0.4349999999999999,0.4758590551463769,0.5104286916786916,0.104580862637135,0.1106797181058932,0.0857621234546248,0.0875490046445905,models/0_1_PHM_C04_MS_NoNBD__RF_Model_01-Jul-2023_23-57_0.75_0.29_0.56.mdl,184.31480193138125,26.728135108947757,1.5152335166931152,25.431570529937744
2,2,2,MS,PHM C06 MS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_MS_NoNBD.mdl,0.5,-1,-40,0.13,0.9,0,0,1000,348,PHM_C06_MS,Separate test set.,40,10,results/MRL2,,100,70,0,0.1666666666666666,0.015,0.0269151138716356,0.0520833333333333,0.3600411499115478,0.0337474278855276,0.0596953449973938,0.1125128593473586,0.4629865529207634,0.375,0.4117851369476756,0.4401658518098315,0.0503170739023857,0.0857969178415583,0.0681332613747445,0.0559876942779639,0.9575757575757576,0.545,0.6940860215053763,0.8310355392156863,0.0447760813319222,0.0283823106098773,0.0282343390414243,0.0324896977646819,0.5655910755910756,0.345,0.425430666957854,0.4981986215538847,0.1060291421266235,0.0643341968853959,0.0697075630847897,0.083053557524213,models/0_2_PHM_C06_MS_NoNBD__RF_Model_02-Jul-2023_00-01_0.17_0.02_0.05.mdl,184.28493857383728,26.75934672355652,1.530914545059204,26.056419849395752
0,0,0,MS,PHM C01 MS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_MS_NoNBD.mdl,0.5,-1,-40,0.12,0.9,0,0,1000,348,PHM_C01_MS,Separate test set.,40,10,results/MRL2,,100,70,1,0.5,1.0,0.6666666666666666,0.5555555555555556,0.0,0.0,0.0,0.0,0.501925505050505,0.8300000000000001,0.6251909310732839,0.5448564399543219,0.0353883814251963,0.0632455532033676,0.0428111404449925,0.0377261753443248,0.8412121212121212,0.45,0.5856451612903226,0.7158088235294118,0.0444719841214304,0.0408248290463862,0.0412465232152029,0.0407520790886951,0.5492549117549117,0.365,0.4321470644051289,0.4914980396065922,0.0902655679528253,0.085146931829632,0.0812942944637905,0.0754071407915076,models/1_0_PHM_C01_MS_NoNBD__RF_Model_02-Jul-2023_00-05_0.50_1.00_0.56.mdl,184.470986366272,26.83749032020569,1.4996488094329834,25.9002058506012
1,1,1,MS,PHM C04 MS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_MS_NoNBD.mdl,0.5,-1,-40,0.098,0.9,0,0,1000,348,PHM_C04_MS,Separate test set.,40,10,results/MRL2,,100,70,1,0.8577272727272728,0.2799999999999999,0.4161847387976419,0.5960664335664336,0.1244833215214248,0.0788810637746615,0.0940918039925249,0.1031900839611719,0.4,0.03,0.0554112554112554,0.113095238095238,0.4594682917363407,0.034960294939005,0.064138127130394,0.1291969888579341,0.35,0.02,0.0376623376623376,0.0803571428571428,0.4743416490252569,0.0258198889747161,0.0486379257390081,0.1040957808696402,0.4748033261887751,0.38,0.4188970125812231,0.4496352338695689,0.0979815344269642,0.105934990547138,0.097939218137953,0.0958196563972842,models/1_1_PHM_C04_MS_NoNBD__RF_Model_02-Jul-2023_00-09_0.86_0.28_0.60.mdl,183.8319201469421,26.80624389648437,1.5152437686920166,25.931448459625244
2,2,2,MS,PHM C06 MS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_MS_NoNBD.mdl,0.5,-1,-40,0.13,0.9,0,0,1000,348,PHM_C06_MS,Separate test set.,40,10,results/MRL2,,100,70,1,0.9371031746031748,0.27,0.4094287130494026,0.6042776667776668,0.0890185597549837,0.100554020859989,0.1255339723631023,0.1290963277581989,0.5012820512820513,0.99,0.6655367231638418,0.5561868686868687,0.0094598049663156,0.0210818510677892,0.0124350840069447,0.0103948560902596,0.35,0.02,0.0376623376623376,0.0803571428571428,0.4743416490252568,0.0258198889747161,0.0486379257390081,0.1040957808696402,0.4687693542155784,0.485,0.4745868192436542,0.4705122065035858,0.0975614996358478,0.1415195314356918,0.1169786809560547,0.1044778867226361,models/1_2_PHM_C06_MS_NoNBD__RF_Model_02-Jul-2023_00-13_0.94_0.27_0.60.mdl,184.4255051612854,26.36884617805481,1.499621868133545,26.087658166885376
0,0,0,MS,PHM C01 MS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_MS_NoNBD.mdl,0.5,-1,-40,0.12,0.9,0,0,1000,348,PHM_C01_MS,Separate test set.,40,10,results/MRL2,,100,70,2,0.5012820512820513,1.0,0.6677966101694915,0.5568181818181819,0.0040542021284209,0.0,0.0035731950962354,0.0039927748234448,0.5175352373804386,0.505,0.5084910722294212,0.5132187929207565,0.0862682726771126,0.1012422836565829,0.0846069608944866,0.0831230970627475,0.65,0.035,0.0662337662337662,0.1428571428571428,0.4743416490252569,0.0241522945769824,0.045725161590515,0.0990077376974178,0.4312182262182261,0.32,0.3646987811948363,0.4009377383676583,0.1084546676424687,0.1032795558988644,0.0999995115414916,0.1020550892298154,models/2_0_PHM_C01_MS_NoNBD__RF_Model_02-Jul-2023_00-17_0.50_1.00_0.56.mdl,184.17415523529053,26.8216564655304,1.4996497631072998,25.9470648765564
1,1,1,MS,PHM C04 MS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_MS_NoNBD.mdl,0.5,-1,-40,0.098,0.9,0,0,1000,348,PHM_C04_MS,Separate test set.,40,10,results/MRL2,,100,70,2,0.8083333333333333,0.14,0.2346736596736596,0.40007215007215,0.2292297892864195,0.0699205898780101,0.1072211980734937,0.1555736366424711,0.5396161864787521,0.6,0.5664048062573304,0.5496145058645059,0.0868908759953982,0.097182531580755,0.0864961786478935,0.0855938481981485,0.5025604551920341,0.97,0.6619674551662615,0.556116606261955,0.0149571366699203,0.0421637021355783,0.0212626877305198,0.0167946649668612,0.492649801179213,0.305,0.3739411874965267,0.4358673393599864,0.1259849641725769,0.109163485958752,0.1158621547271094,0.1208288883063434,models/2_1_PHM_C04_MS_NoNBD__RF_Model_02-Jul-2023_00-21_0.81_0.14_0.40.mdl,184.31617975234985,26.853075981140137,1.5152702331542969,25.99393367767334
2,2,2,MS,PHM C06 MS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_MS_NoNBD.mdl,0.5,-1,-40,0.13,0.9,0,0,1000,348,PHM_C06_MS,Separate test set.,40,10,results/MRL2,,100,70,2,0.4258333333333333,0.1699999999999999,0.2380638957816376,0.3195553527354998,0.2675968172005407,0.1206464071390257,0.1612255992078115,0.2074141592880694,0.5525203748605283,0.585,0.5662534632151568,0.5574846867102302,0.075450117400462,0.102875329080073,0.0822089000815102,0.0765563745536903,0.4972991209833314,0.97,0.6574107683000605,0.5509654266921709,0.0119966893369202,0.0421637021355784,0.0193978759622822,0.0141603196925037,0.5033076223293614,0.63,0.558666041587486,0.5239198652496413,0.0726703188960644,0.0918936583472681,0.0773116754442368,0.0738054578952814,models/2_2_PHM_C06_MS_NoNBD__RF_Model_02-Jul-2023_00-25_0.43_0.17_0.32.mdl,183.84615683555603,26.83748960494995,1.5308661460876465,26.11890435218811
0,0,0,MS,PHM C01 MS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_MS_NoNBD.mdl,0.5,-1,-40,0.12,0.9,0,0,1000,348,PHM_C01_MS,Separate test set.,40,10,results/MRL2,,100,70,3,0.813358580274215,0.75,0.7776099202928471,0.7978879453879454,0.0449260337249433,0.0816496580927725,0.0472711048594122,0.037336055111385,0.4987179487179487,0.995,0.6644067796610169,0.5539772727272727,0.004054202128421,0.0158113883008419,0.0071463901924709,0.0049909685293061,0.4972954736112631,0.965,0.6562592922985429,0.5506392831974227,0.0174992324276477,0.0474341649025256,0.025349249281398,0.0199024169939992,0.3983333333333333,0.185,0.2453589324618736,0.3137383900928792,0.1098342162153956,0.0944281031614353,0.0978087641037554,0.096363595257368,models/3_0_PHM_C01_MS_NoNBD__RF_Model_02-Jul-2023_00-29_0.81_0.75_0.80.mdl,184.80473709106445,37.97550082206726,1.5152688026428225,32.74232578277588
