,,0
A2C_F05,mean,0.46128697022609205
A2C_F05_sd,mean,0.06545014123221596
A2C_F1,mean,0.4691685032138889
A2C_F1_sd,mean,0.06937946171027398
A2C_Pr,mean,0.45998822020788616
A2C_Pr_sd,mean,0.0664731151362589
A2C_Rc,mean,0.49877777777777776
A2C_Rc_sd,mean,0.08656034051343073
DQN_F05,mean,0.2921535988595047
DQN_F05_sd,mean,0.0734056982313605
DQN_F1,mean,0.30911866158261225
DQN_F1_sd,mean,0.04419555719784201
DQN_Pr,mean,0.38354435178659824
DQN_Pr_sd,mean,0.2148842264886669
DQN_Rc,mean,0.4203333333333333
DQN_Rc_sd,mean,0.035574377293175884
PPO_F05,mean,0.4099984058657361
PPO_F05_sd,mean,0.10483398239318585
PPO_F1,mean,0.36844387315636634
PPO_F1_sd,mean,0.0927403432608874
PPO_Pr,mean,0.47264257005598026
PPO_Pr_sd,mean,0.13272177886871422
PPO_Rc,mean,0.3406666666666667
PPO_Rc_sd,mean,0.0899545877020291
RF_F05,mean,0.725378206726162
RF_F05_sd,mean,0.04151011501045745
RF_F1,mean,0.734479283551369
RF_F1_sd,mean,0.04002999602650009
RF_Pr,mean,0.7432734396199941
RF_Pr_sd,mean,0.05417506851505407
RF_Rc,mean,0.7882222222222222
RF_Rc_sd,mean,0.04414891671511263
