,,0
A2C_F05,mean,0.4858419897995295
A2C_F05_sd,mean,0.09278861429575262
A2C_F1,mean,0.469134337550628
A2C_F1_sd,mean,0.09366007047901193
A2C_Pr,mean,0.512869931109768
A2C_Pr_sd,mean,0.10814607402336307
A2C_Rc,mean,0.4613333333333333
A2C_Rc_sd,mean,0.10454492697802605
DQN_F05,mean,0.40574650415122954
DQN_F05_sd,mean,0.06765973406415506
DQN_F1,mean,0.3940604532757783
DQN_F1_sd,mean,0.04050041695582967
DQN_Pr,mean,0.55139210231921
DQN_Pr_sd,mean,0.216138993982526
DQN_Rc,mean,0.4696666666666667
DQN_Rc_sd,mean,0.0344087787276166
PPO_F05,mean,0.25638489710793066
PPO_F05_sd,mean,0.12228395820364889
PPO_F1,mean,0.19220241733630106
PPO_F1_sd,mean,0.08914332500363925
PPO_Pr,mean,0.37014617909896547
PPO_Pr_sd,mean,0.20145041239509834
PPO_Rc,mean,0.1446666666666667
PPO_Rc_sd,mean,0.06835015955158409
RF_F05,mean,0.9056357751205724
RF_F05_sd,mean,0.03177227421710877
RF_F1,mean,0.8618697011385347
RF_F1_sd,mean,0.03933541198080936
RF_Pr,mean,0.9457809979622024
RF_Pr_sd,mean,0.025887607512921035
RF_Rc,mean,0.8166666666666668
RF_Rc_sd,mean,0.05002263842766833
