Unnamed: 0,force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,timestamp,tool_wear,experiment_tag,time,VB_mm,ACTION_CODE
0,0.704,-0.387,-1.084,0.018,0.031,0.027,-0.004,2e-05,0.048892617,c1,2e-05,0.048892617,0
100,0.183,2.004,-0.508,-0.016,-0.064,-0.051,0.047,3.96004,0.049570815,c1,3.96004,0.049570815,0
200,-1.278,2.954,0.778,-0.102,-0.094,-0.215,0.058,7.92006,0.050302867,c1,7.92006,0.050302867,0
300,-2.263,1.122,-0.526,-0.21,-0.24,-0.244,0.064,11.88008,0.051083652,c1,11.88008,0.051083652,0
400,-3.498,3.903,-3.774,0.024,0.007,-0.06,0.092,15.8401,0.052250329,c1,15.8401,0.052250329,0
500,4.413,0.05,0.953,-0.12,-0.172,-0.148,0.156,19.8401,0.052250329,c1,19.8401,0.052250329,0
600,7.082,1.216,0.854,-0.006,-0.005,0.007,0.089,23.80012,0.056282766,c1,23.80012,0.056282766,0
700,6.794,2.665,-2.416,0.055,0.05,0.046,0.083,27.76014,0.059976616,c1,27.76014,0.059976616,0
800,2.526,3.441,-0.414,0.069,0.097,0.078,0.109,31.72016,0.063351288,c1,31.72016,0.063351288,0
900,1.861,2.721,4.204,0.054,0.139,0.004,0.111,35.68018,0.066425391,c1,35.68018,0.066425391,0
1000,7.767,-3.138,0.489,0.048,-0.143,0.012,0.11,39.6402,0.069216757,c1,39.6402,0.069216757,0
1100,2.878,3.471,1.25,0.01,0.008,-0.062,0.113,43.60022,0.071742468,c1,43.60022,0.071742468,0
1200,0.811,-4.654,1.359,0.016,-0.035,-0.136,0.127,47.56024,0.074018874,c1,47.56024,0.074018874,0
1300,5.191,-8.623,1.443,0.115,0.078,0.131,0.128,51.52026,0.076061624,c1,51.52026,0.076061624,0
1400,1.453,-1.67,4.347,0.005,0.015,0.021,0.109,55.48028,0.07788568,c1,55.48028,0.07788568,0
1500,8.107,13.011,-0.402,-0.009,0.006,0.092,0.193,59.4403,0.079505344,c1,59.4403,0.079505344,0
1600,9.043,8.46,-2.243,-0.076,-0.114,-0.099,0.196,63.4403,0.079505344,c1,63.4403,0.079505344,0
1700,7.818,-1.751,2.86,-0.066,0.026,-0.075,0.112,67.40032,0.080934279,c1,67.40032,0.080934279,0
1800,13.82,8.336,-4.874,0.054,-0.003,0.135,0.111,71.36034,0.082185527,c1,71.36034,0.082185527,0
1900,7.622,-3.064,11.607,0.104,0.03,-0.012,0.137,75.32036,0.08327153,c1,75.32036,0.08327153,0
2000,16.655,3.435,-1.049,-0.032,-0.063,0.01,0.118,79.28038,0.084204154,c1,79.28038,0.084204154,0
2100,11.776,-1.03,7.722,0.025,0.009,-0.028,0.146,83.2404,0.084994703,c1,83.2404,0.084994703,0
2200,5.398,9.54,-3.423,-0.09,-0.055,-0.096,0.122,87.20042,0.085653939,c1,87.20042,0.085653939,0
2300,8.098,-0.303,-0.184,-0.009,-0.148,-0.022,0.159,91.16044,0.086192103,c1,91.16044,0.086192103,0
2400,4.396,11.614,-5.387,-0.007,-0.028,-0.099,0.114,95.12046,0.086618931,c1,95.12046,0.086618931,0
2500,8.965,22.953,0.921,-0.037,-0.023,-0.064,0.097,99.08048,0.086943672,c1,99.08048,0.086943672,0
2600,0.647,-2.683,12.058,0.087,0.029,0.029,0.2,103.0405,0.087175103,c1,103.0405,0.087175103,0
2700,11.162,4.029,-2.316,0.053,0.07,0.212,0.24,107.0405,0.087175103,c1,107.0405,0.087175103,0
2800,7.064,7.914,-8.048,-0.026,0.006,0.057,0.092,111.00052,0.08732155,c1,111.00052,0.08732155,0
2900,11.003,1.994,0.113,0.092,0.072,0.196,0.099,114.96054,0.087390901,c1,114.96054,0.087390901,0
3000,1.961,1.461,1.007,-0.01,0.044,0.051,0.107,118.92056,0.087390901,c1,118.92056,0.087390901,0
3100,5.243,5.402,2.131,0.125,0.062,0.02,0.116,122.88058,0.087390901,c1,122.88058,0.087390901,0
3200,0.641,-1.374,-3.731,0.037,0.105,0.032,0.139,126.8406,0.087390901,c1,126.8406,0.087390901,0
3300,0.599,-0.201,10.2,0.144,0.106,0.186,0.105,130.80062,0.087390901,c1,130.80062,0.087390901,0
3400,-2.037,9.662,-4.047,-0.057,0.047,-0.14,0.115,134.76064,0.087390901,c1,134.76064,0.087390901,0
3500,7.859,18.532,0.418,0.005,0.091,0.079,0.148,138.72066,0.087390901,c1,138.72066,0.087390901,0
3600,6.441,6.416,-4.571,-0.017,0.069,0.077,0.098,142.68068,0.087390901,c1,142.68068,0.087390901,0
3700,0.196,-3.35,6.937,-0.097,-0.011,-0.193,0.187,146.6407,0.087390901,c1,146.6407,0.087390901,0
3800,6.377,2.56,8.891,-0.152,0.027,-0.044,0.166,150.6407,0.087390901,c1,150.6407,0.087390901,0
3900,1.78,4.938,4.469,-0.097,-0.133,-0.112,0.109,154.60072,0.087390901,c1,154.60072,0.087390901,0
4000,5.073,10.148,6.368,0.156,0.107,0.166,0.1,158.56074,0.087390901,c1,158.56074,0.087390901,0
4100,1.657,1.672,9.975,0.075,0.05,0.092,0.113,162.52076,0.087390901,c1,162.52076,0.087390901,0
4200,1.563,2.434,5.546,-0.145,0.003,-0.178,0.135,166.48078,0.087390901,c1,166.48078,0.087390901,0
4300,3.269,7.008,-0.366,-0.015,-0.037,0.047,0.146,170.4408,0.087390901,c1,170.4408,0.087390901,0
4400,7.961,9.787,1.056,-0.073,-0.079,-0.087,0.12,174.40082,0.087390901,c1,174.40082,0.087390901,0
4500,1.637,4.578,-0.55,-0.025,-0.025,0.043,0.146,178.36084,0.087390901,c1,178.36084,0.087390901,0
4600,7.063,10.146,-3.483,0.024,0.051,0.029,0.11,182.32086,0.087390901,c1,182.32086,0.087390901,0
4700,7.276,7.996,-4.345,-0.067,0.016,0.056,0.093,186.28088,0.087390901,c1,186.28088,0.087390901,0
4800,8.548,8.578,1.964,0.097,-0.042,-0.006,0.188,190.2409,0.087395549,c1,190.2409,0.087395549,0
4900,5.641,5.212,1.169,-0.027,0.004,0.121,0.136,194.2409,0.087395549,c1,194.2409,0.087395549,0
5000,-0.561,-2.366,-0.82,0.013,0.043,0.058,0.099,198.20092,0.08792458,c1,198.20092,0.08792458,0
5100,-0.397,3.207,4.513,0.009,-0.016,0.036,0.083,202.16094,0.088429888,c1,202.16094,0.088429888,0
5200,-1.481,0.822,0.807,-0.147,-0.003,0.025,0.115,206.12096,0.088911696,c1,206.12096,0.088911696,0
5300,5.4,5.168,3.312,-0.043,-0.078,-0.127,0.106,210.08098,0.089370263,c1,210.08098,0.089370263,0
5400,3.129,-3.771,11.838,0.046,-0.036,0.052,0.115,214.041,0.089805882,c1,214.041,0.089805882,0
5500,8.226,9.592,-1.978,0.017,-0.001,-0.054,0.103,218.00102,0.09021888,c1,218.00102,0.09021888,0
5600,9.432,4.69,1.108,-0.107,-0.034,0.086,0.083,221.96104,0.090609609,c1,221.96104,0.090609609,0
5700,7.792,-5.271,18.657,-0.056,-0.12,-0.299,0.091,225.92106,0.090978452,c1,225.92106,0.090978452,0
5800,5.356,1.249,0.805,0.226,0.168,0.3,0.089,229.88108,0.091325818,c1,229.88108,0.091325818,0
5900,4.888,26.954,-0.455,0.061,-0.132,-0.406,0.17,233.8411,0.091652136,c1,233.8411,0.091652136,0
6000,-0.427,-2.883,-1.934,0.053,0.052,0.056,0.179,237.8411,0.091652136,c1,237.8411,0.091652136,0
6100,-1.363,2.393,4.29,0.055,0.005,-0.017,0.098,241.80112,0.09195786,c1,241.80112,0.09195786,0
6200,8.69,8.569,0.947,0.077,-0.113,0.07,0.087,245.76114,0.092243463,c1,245.76114,0.092243463,0
6300,7.99,7.231,4.821,0.023,0.075,0.097,0.089,249.72116,0.092509436,c1,249.72116,0.092509436,0
6400,9.156,17.921,14.133,-0.02,-0.081,-0.093,0.101,253.68118,0.092756286,c1,253.68118,0.092756286,0
6500,5.11,15.535,6.301,-0.167,-0.195,-0.214,0.11,257.6412,0.092984535,c1,257.6412,0.092984535,0
6600,8.254,-1.093,-4.153,-0.159,-0.219,-0.18,0.11,261.60122,0.093194718,c1,261.60122,0.093194718,0
6700,5.222,16.45,6.34,-0.059,-0.02,-0.108,0.075,265.56124,0.093387384,c1,265.56124,0.093387384,0
6800,1.646,15.384,1.149,-0.027,-0.047,-0.036,0.124,269.52126,0.09356309,c1,269.52126,0.09356309,0
6900,1.33,-11.696,2.416,0.254,0.171,-0.106,0.083,273.48128,0.093722403,c1,273.48128,0.093722403,0
7000,9.936,-2.299,-8.237,0.133,-0.06,-0.098,0.184,277.4413,0.093865896,c1,277.4413,0.093865896,0
7100,3.21,4.14,-1.63,-0.145,-0.087,-0.069,0.21,281.4413,0.093865896,c1,281.4413,0.093865896,0
7200,2.501,0.989,1.865,0.091,0.078,0.034,0.121,285.40132,0.093994151,c1,285.40132,0.093994151,0
7300,-1.093,1.465,1.715,0.007,0.112,-0.013,0.117,289.36134,0.094107753,c1,289.36134,0.094107753,0
7400,1.674,3.642,3.376,0.062,0.058,-0.017,0.101,293.32136,0.094207293,c1,293.32136,0.094207293,0
7500,6.875,10.6,3.283,-0.143,-0.05,-0.024,0.106,297.28138,0.094293363,c1,297.28138,0.094293363,0
7600,11.31,2.721,16.868,-0.106,-0.214,-0.226,0.104,301.2414,0.094366558,c1,301.2414,0.094366558,0
7700,9.485,-6.824,18.558,0.08,0.031,-0.063,0.086,305.20142,0.094427473,c1,305.20142,0.094427473,0
