time,force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,timestamp,tool_wear,ACTION_CODE
0,0.916,4.37,-1.372,0.102,0.041,0.069,0.018,2.00E-05,0.031416355,0
1,3.856,1.386,-2.987,0.026,0.026,0.033,0.028,3.96004,0.03489277,0
2,1.676,9.676,-0.114,0.121,-0.006,-0.033,0.05,7.92006,0.038102847,0
3,4.258,-2.669,6.262,0.076,-0.011,-0.049,0.061,11.88008,0.041061023,0
4,9.059,-0.056,-1.502,-0.073,-0.075,-0.008,0.055,15.8401,0.043781191,0
5,0.683,6.227,7.783,-0.096,-0.136,-0.144,0.148,19.8401,0.043781191,0
6,0.065,9.32,-1.251,0.056,0.018,0.02,0.084,23.80012,0.04627671,0
7,6.227,2.747,-3.341,-0.043,-0.063,-0.021,0.099,27.76014,0.048560421,0
8,3.001,1.579,0.867,0.003,-0.024,-0.057,0.108,31.72016,0.05064466,0
9,1.264,6.803,1.874,-0.028,0.015,-0.04,0.112,35.68018,0.052541276,0
10,0.562,10.727,-5.055,-0.07,-0.038,-0.091,0.144,39.6402,0.054261641,0
11,5.816,0.563,-3.939,0.126,-0.049,-0.026,0.124,43.60022,0.055816664,0
12,0.671,8.035,2.114,-0.074,-0.088,-0.137,0.109,47.56024,0.057216807,0
13,2.603,7.269,-0.656,0.045,0.008,-0.005,0.086,51.52026,0.058472096,0
14,0.18,0.364,-2.182,0.003,0.006,0.003,-0.004,55.52026,0.058472096,0
15,4.122,0.532,1.178,0.038,-0.013,0.009,0.1,59.48028,0.059592133,0
16,3.103,7.3,5.426,0.068,0.081,0.063,0.133,63.4403,0.060586109,0
17,3.953,-0.704,-4.925,-0.117,-0.053,-0.068,0.099,67.40032,0.061462818,0
18,3.728,0.031,-0.726,0.052,0.074,0.049,0.15,71.36034,0.062230668,0
19,5.724,7.865,-0.285,0.074,-0.017,0.084,0.132,75.32036,0.06289769,0
20,3.691,1.563,10.078,0.158,-0.002,0.119,0.15,79.28038,0.063471553,0
21,2.38,2.322,-2.23,-0.065,0.065,-0.002,0.119,83.2404,0.063959575,0
22,5.353,-7.559,-0.295,0.088,0.021,0.112,0.091,87.20042,0.064368731,0
23,-0.987,7.871,2.42,0.098,0.018,-0.007,0.265,91.16044,0.064705665,0
24,4.688,4.529,4.614,-0.033,0.057,0.032,0.133,95.16044,0.064705665,0
25,5.587,2.95,-0.101,-0.042,0.025,0.094,0.114,99.12046,0.064976704,0
26,3.811,5.532,11.104,-0.059,-0.079,-0.055,0.076,103.08048,0.065187863,0
27,-0.799,3.822,3.429,0.289,0.252,0.269,0.128,107.0405,0.065344857,0
28,5.819,15.071,2.349,-0.039,-0.003,-0.017,0.132,111.00052,0.065453113,0
29,10.418,9.868,-0.57,-0.015,-0.046,-0.041,0.112,114.96054,0.065517775,0
30,14.866,1.18,-2.34,0.076,0.021,0.11,0.112,118.92056,0.065543719,0
31,5.515,-2.923,11.857,-0.043,-0.178,-0.097,0.107,122.88058,0.065543719,0
32,11.163,6.762,-0.867,0.045,-0.047,0.007,0.156,126.8406,0.065543719,0
33,5.495,6.907,7.164,-0.171,-0.078,-0.101,0.161,130.8406,0.065543719,0
34,-0.059,2.124,0.961,0.027,-0.056,-0.02,0.077,134.80062,0.065543719,0
35,6.546,8.558,11.418,-0.076,-0.092,-0.099,0.107,138.76064,0.065543719,0
36,6.291,3.497,10.562,0.058,0.118,0.046,0.109,142.72066,0.065543719,0
37,3.031,6.494,12.115,0.093,0.118,0.049,0.138,146.68068,0.065543719,0
38,3.685,4.654,-0.907,-0.015,0.01,-0.007,0.11,150.6407,0.065543719,0
39,2.105,-2.863,13.927,0.004,-0.118,-0.103,0.133,154.60072,0.065945969,0
40,5.319,14.404,1.306,-0.042,-0.055,0.066,0.119,158.56074,0.066358367,0
41,4.71,20.467,-0.045,0.129,0.089,0.104,0.098,162.52076,0.066764133,0
42,3.688,18.608,1.049,-0.101,0.003,0.024,0.237,166.48078,0.067164749,0
43,6.282,7.204,-2.562,0.078,-0.007,0.093,0.115,170.48078,0.067164749,0
44,2.118,2.796,10.941,0.073,0.077,-0.022,0.112,174.4408,0.067561562,0
45,4.888,8.988,-5.175,-0.013,0.029,0.044,0.101,178.40082,0.067955795,0
46,2.441,3.387,9.246,-0.067,-0.015,-0.12,0.098,182.36084,0.068348553,0
47,4.034,3.528,5.726,-0.122,0.129,-0.161,0.112,186.32086,0.068740823,0
48,2.836,6.366,3.995,-0.103,-0.128,-0.116,0.122,190.28088,0.069133487,0
49,4.536,19.911,3.853,-0.092,-0.114,-0.126,0.086,194.2409,0.069527322,0
50,-1.743,8.136,6.8,-0.114,-0.077,-0.19,0.105,198.20092,0.069923009,0
51,1.736,5.685,4.449,0.109,0.143,0.057,0.141,202.16094,0.070321136,0
52,7.915,8.084,3.031,0.051,0.017,0.107,0.179,206.16094,0.070321136,0
53,5.754,6.604,-2.021,-0.015,-0.044,-0.005,0.082,210.12096,0.070722202,0
54,3.695,-0.343,12.75,-0.006,0.022,-0.022,0.084,214.08098,0.071126626,0
55,1.248,4.185,4.717,-0.019,0,-0.039,0.095,218.041,0.071534746,0
56,2.914,9.091,6.077,-0.157,-0.096,-0.14,0.123,222.00102,0.07194683,0
57,8.866,14.136,12.431,0.041,0.024,-0.006,0.101,225.96104,0.072363075,0
58,12.166,-2.568,-0.865,0.15,-0.031,0.209,0.092,229.92106,0.072783613,0
59,5.618,9.579,-2.542,-0.015,-0.025,-0.053,0.125,233.88108,0.073208515,0
60,13.073,-5.726,-0.422,-0.072,-0.234,-0.014,0.118,237.8411,0.073637796,0
61,0.395,1.773,2.204,0.079,0.082,0.086,-0.005,241.8411,0.073637796,0
62,0.237,3.799,3.528,0.16,0.091,0.014,0.106,245.80112,0.074071419,0
63,7.293,5.175,15.213,-0.256,-0.287,-0.342,0.095,249.76114,0.074509295,0
64,5.383,3.483,-2.513,0.149,0.175,0.227,0.126,253.72116,0.074951291,0
65,7.032,5.996,15.782,0,-0.181,-0.038,0.098,257.68118,0.075397232,0
66,5.755,15.747,5.203,0.203,0.122,0.169,0.114,261.6412,0.075846902,0
67,2.965,13.906,4.266,-0.085,-0.011,0.015,0.089,265.60122,0.076300051,0
68,1.071,4.609,-5.914,0.044,0.118,0.105,0.097,269.56124,0.076756396,0
69,5.028,1.02,19.415,-0.03,-0.045,0.025,0.096,273.52126,0.077215623,0
70,-1.659,9.467,-7.196,-0.092,0.072,-0.049,0.228,277.48128,0.077677393,0
71,6.717,2.313,14.466,0.01,0.037,-0.062,0.137,281.48128,0.077677393,0
72,6.9,6.549,1.087,0.02,0.011,0.123,0.124,285.4413,0.078141339,0
73,4.898,7.942,15.618,0.142,0.087,0.056,0.103,289.40132,0.078607077,0
74,6.269,11.952,1.074,0.037,-0.051,0.058,0.107,293.36134,0.079074199,0
75,8.331,3.868,18.826,-0.025,-0.093,-0.035,0.122,297.32136,0.079542285,0
76,5.119,14.388,6.378,-0.073,0.066,0.001,0.095,301.28138,0.080010896,0
77,4.163,3.323,13.891,-0.014,-0.01,0.058,0.092,305.2414,0.080479584,0
78,4.693,3.255,3.698,0.043,0.104,0.131,0.108,309.20142,0.080947889,0
79,9.575,16.893,11.682,0.014,-0.082,-0.019,0.125,313.16144,0.081415343,0
80,1.47,7.919,6.543,0.075,0.154,-0.119,0.216,317.16144,0.081415343,0
81,6.263,10.739,11.222,-0.001,-0.042,-0.068,0.106,321.12146,0.081881473,0
82,12.898,2.767,20.68,0.098,0.075,0.004,0.095,325.08148,0.082345801,0
83,7.521,6.917,14.034,0.001,0.021,-0.081,0.104,329.0415,0.082807844,0
84,7.758,19.052,6.251,-0.007,-0.078,0.011,0.107,333.00152,0.083267122,0
85,11.483,-2.201,-5.017,0.191,0.019,0.235,0.085,336.96154,0.083723152,0
86,8.402,4.394,-8.746,-0.042,0.028,-0.003,0.083,340.92156,0.084175456,0
87,11.509,-6.732,-3.699,0.108,-0.089,0.13,0.125,344.88158,0.084623556,0
88,5.805,25.282,3.676,-0.019,0.007,0.148,0.101,348.8416,0.085066983,0
89,3.708,14.251,-7.208,-0.114,0.097,-0.026,0.197,352.80162,0.085505271,0
90,1.24,-0.473,1.999,0.006,0.023,0.214,0.165,356.80162,0.085505271,0
91,14.657,5.763,19.733,0.051,0.048,-0.021,0.09,360.76164,0.085937963,0
92,3.203,3.621,1.237,0.079,0.127,0.091,0.079,364.72166,0.086364608,0
93,8.111,0.074,-7.167,0.043,0.098,0.047,0.09,368.68168,0.086784768,0
94,0.975,6.18,-0.882,-0.049,-0.104,-0.069,0.095,372.6417,0.087198012,0
95,7.089,-2.843,-6.244,0.096,-0.01,0.059,0.085,376.60172,0.087603924,0
96,7.687,27.202,5.049,0.17,-0.048,-0.061,0.117,380.56174,0.088002097,0
97,11.01,-3.981,23.173,0.188,-0.004,0.022,0.097,384.52176,0.088392138,0
98,0.009,8.756,5.168,0.028,0.039,0.035,0.206,388.48178,0.08877367,0
99,5.254,6.022,-5.492,-0.133,-0.036,0.241,0.156,392.48178,0.08877367,0
100,1.477,5.583,0.309,0.031,-0.066,-0.047,0.11,396.4418,0.089146328,0
101,12.423,5.938,-10.356,-0.013,0.072,0.102,0.086,400.40182,0.089509764,0
102,4.458,-1.415,-7.735,0.131,0.094,0.173,0.102,404.36184,0.089863643,0
103,6.147,14.285,10.623,0.057,0.106,0.079,0.105,408.32186,0.090207649,0
104,-2.078,3.148,-0.985,0.098,0.131,0.164,0.077,412.28188,0.090541483,0
105,7.949,-6.594,-2.717,0.124,0.135,0.138,0.09,416.2419,0.090864861,0
106,4.681,24.548,1.469,-0.099,-0.094,-0.034,0.112,420.20192,0.091177517,0
107,9.376,13.23,12.407,0.106,-0.118,0.036,0.107,424.16194,0.091479206,0
108,-4.13,1.443,2.831,0.037,0.002,0.045,0.189,428.16194,0.091479206,0
109,15.635,2.916,-3.692,-0.037,0.005,0.093,0.086,432.12196,0.091769698,0
110,3.872,10.86,12.011,-0.067,-0.059,-0.053,0.067,436.08198,0.092048781,0
111,-4.221,5.687,9.179,-0.109,-0.006,-0.151,0.071,440.042,0.092316266,0
112,3.775,3.648,14.808,0.027,0.003,-0.002,0.109,444.00202,0.092571978,0
113,0.597,1.282,8.677,0.002,0.067,-0.159,0.083,447.96204,0.092815764,0
114,14.04,9.239,-5.56,-0.002,-0.117,-0.065,0.103,451.92206,0.093047489,0
115,13.996,-8.411,-0.837,0.046,-0.118,0.237,0.095,455.88208,0.093267038,0
116,-1.857,9.656,-2.774,-0.002,-0.119,-0.053,0.091,459.8421,0.093474314,0
117,11.299,8.073,20.479,0.177,-0.097,0.203,0.186,463.80212,0.093669241,0
118,-0.813,-2.636,8.569,0.036,-0.03,0.059,0.117,467.80212,0.093669241,0
119,9.461,1.159,16.113,-0.018,-0.01,-0.118,0.079,471.76214,0.09385176,0
120,11.845,3.681,20.321,0.109,0.134,0.008,0.078,475.72216,0.094021834,0
121,12.057,10.827,19.065,0.047,-0.027,-0.05,0.088,479.68218,0.094179442,0
122,6.85,9.499,16.338,-0.084,-0.135,-0.107,0.086,483.6422,0.094324584,0
123,-0.891,6.862,11.59,-0.074,0.042,-0.1,0.09,487.60222,0.094457278,0
124,-2.53,7.622,4.791,0.086,0.054,0.021,0.08,491.56224,0.094577561,0
125,0.479,13.104,-6.914,-0.023,0.13,-0.068,0.096,495.52226,0.094685487,0
126,5.363,-16.054,-1.717,-0.057,0.024,-0.182,0.183,499.48228,0.094781131,0
