force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,tool_wear,ACTION_CODE
0.704,-0.387,-1.084,0.018,0.031,0.027,-0.004,0.048892617,0
0.183,2.004,-0.508,-0.016,-0.064,-0.051,0.047,0.049570815,0
-1.278,2.954,0.778,-0.102,-0.094,-0.215,0.058,0.050302867,0
-2.263,1.122,-0.526,-0.21,-0.24,-0.244,0.064,0.051083652,0
-3.498,3.903,-3.774,0.024,0.007,-0.06,0.092,0.052250329,0
4.413,0.05,0.953,-0.12,-0.172,-0.148,0.156,0.052250329,0
7.082,1.216,0.854,-0.006,-0.005,0.007,0.089,0.056282766,0
6.794,2.665,-2.416,0.055,0.05,0.046,0.083,0.059976616,0
2.526,3.441,-0.414,0.069,0.097,0.078,0.109,0.063351288,0
1.861,2.721,4.204,0.054,0.139,0.004,0.111,0.066425391,0
7.767,-3.138,0.489,0.048,-0.143,0.012,0.11,0.069216757,0
2.878,3.471,1.25,0.01,0.008,-0.062,0.113,0.071742468,0
0.811,-4.654,1.359,0.016,-0.035,-0.136,0.127,0.074018874,0
5.191,-8.623,1.443,0.115,0.078,0.131,0.128,0.076061624,0
1.453,-1.67,4.347,0.005,0.015,0.021,0.109,0.07788568,0
8.107,13.011,-0.402,-0.009,0.006,0.092,0.193,0.079505344,0
9.043,8.46,-2.243,-0.076,-0.114,-0.099,0.196,0.079505344,0
7.818,-1.751,2.86,-0.066,0.026,-0.075,0.112,0.080934279,0
13.82,8.336,-4.874,0.054,-0.003,0.135,0.111,0.082185527,0
7.622,-3.064,11.607,0.104,0.03,-0.012,0.137,0.08327153,0
16.655,3.435,-1.049,-0.032,-0.063,0.01,0.118,0.084204154,0
11.776,-1.03,7.722,0.025,0.009,-0.028,0.146,0.084994703,0
5.398,9.54,-3.423,-0.09,-0.055,-0.096,0.122,0.085653939,0
8.098,-0.303,-0.184,-0.009,-0.148,-0.022,0.159,0.086192103,0
4.396,11.614,-5.387,-0.007,-0.028,-0.099,0.114,0.086618931,0
8.965,22.953,0.921,-0.037,-0.023,-0.064,0.097,0.086943672,0
0.647,-2.683,12.058,0.087,0.029,0.029,0.2,0.087175103,0
11.162,4.029,-2.316,0.053,0.07,0.212,0.24,0.087175103,0
7.064,7.914,-8.048,-0.026,0.006,0.057,0.092,0.08732155,0
11.003,1.994,0.113,0.092,0.072,0.196,0.099,0.087390901,0
1.961,1.461,1.007,-0.01,0.044,0.051,0.107,0.087390901,0
5.243,5.402,2.131,0.125,0.062,0.02,0.116,0.087390901,0
0.641,-1.374,-3.731,0.037,0.105,0.032,0.139,0.087390901,0
0.599,-0.201,10.2,0.144,0.106,0.186,0.105,0.087390901,0
-2.037,9.662,-4.047,-0.057,0.047,-0.14,0.115,0.087390901,0
7.859,18.532,0.418,0.005,0.091,0.079,0.148,0.087390901,0
6.441,6.416,-4.571,-0.017,0.069,0.077,0.098,0.087390901,0
0.196,-3.35,6.937,-0.097,-0.011,-0.193,0.187,0.087390901,0
6.377,2.56,8.891,-0.152,0.027,-0.044,0.166,0.087390901,0
1.78,4.938,4.469,-0.097,-0.133,-0.112,0.109,0.087390901,0
5.073,10.148,6.368,0.156,0.107,0.166,0.1,0.087390901,0
1.657,1.672,9.975,0.075,0.05,0.092,0.113,0.087390901,0
1.563,2.434,5.546,-0.145,0.003,-0.178,0.135,0.087390901,0
3.269,7.008,-0.366,-0.015,-0.037,0.047,0.146,0.087390901,0
7.961,9.787,1.056,-0.073,-0.079,-0.087,0.12,0.087390901,0
1.637,4.578,-0.55,-0.025,-0.025,0.043,0.146,0.087390901,0
7.063,10.146,-3.483,0.024,0.051,0.029,0.11,0.087390901,0
7.276,7.996,-4.345,-0.067,0.016,0.056,0.093,0.087390901,0
8.548,8.578,1.964,0.097,-0.042,-0.006,0.188,0.087395549,0
5.641,5.212,1.169,-0.027,0.004,0.121,0.136,0.087395549,0
-0.561,-2.366,-0.82,0.013,0.043,0.058,0.099,0.08792458,0
-0.397,3.207,4.513,0.009,-0.016,0.036,0.083,0.088429888,0
-1.481,0.822,0.807,-0.147,-0.003,0.025,0.115,0.088911696,0
5.4,5.168,3.312,-0.043,-0.078,-0.127,0.106,0.089370263,0
3.129,-3.771,11.838,0.046,-0.036,0.052,0.115,0.089805882,0
8.226,9.592,-1.978,0.017,-0.001,-0.054,0.103,0.09021888,0
9.432,4.69,1.108,-0.107,-0.034,0.086,0.083,0.090609609,0
7.792,-5.271,18.657,-0.056,-0.12,-0.299,0.091,0.090978452,0
5.356,1.249,0.805,0.226,0.168,0.3,0.089,0.091325818,0
4.888,26.954,-0.455,0.061,-0.132,-0.406,0.17,0.091652136,0
-0.427,-2.883,-1.934,0.053,0.052,0.056,0.179,0.091652136,0
-1.363,2.393,4.29,0.055,0.005,-0.017,0.098,0.09195786,0
8.69,8.569,0.947,0.077,-0.113,0.07,0.087,0.092243463,0
7.99,7.231,4.821,0.023,0.075,0.097,0.089,0.092509436,0
