force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,timestamp,tool_wear,experiment_tag,time,VB_mm,ACTION_CODE
-0.368,1.829,0.328,0.099,0.065,0.063,-0.004,2e-05,0.062788648,c6,2e-05,0.062788648,0
0.939,-4.637,-1.671,-0.009,0.011,0.064,0.066,3.96004,0.064136043,c6,3.96004,0.064136043,0
1.497,0.442,0.169,-0.138,-0.063,-0.085,0.072,7.96004,0.064136043,c6,7.96004,0.064136043,0
2.191,7.597,3.972,0.029,-0.106,-0.028,0.069,11.92006,0.065365273,c6,11.92006,0.065365273,0
3.207,3.694,4.2,0.027,0.111,0.043,0.101,15.88008,0.06648688,c6,15.88008,0.06648688,0
2.98,0.325,3.463,-0.022,0.016,0.048,0.09,19.8401,0.067510808,c6,19.8401,0.067510808,0
5.424,5.458,-2.782,0.03,0.01,-0.05,0.09,23.80012,0.068446425,c6,23.80012,0.068446425,0
1.018,4.088,2.501,0.138,0.043,0.01,0.108,27.76014,0.069302543,c6,27.76014,0.069302543,0
3.937,6.8,-2.511,-0.043,0.004,-0.199,0.133,31.72016,0.070087442,c6,31.72016,0.070087442,0
2.999,-1.913,-2.389,0.02,0.125,0.03,0.129,35.68018,0.070808889,c6,35.68018,0.070808889,0
6.442,6.793,-1.709,-0.027,0.06,0.118,0.141,39.6402,0.071474155,c6,39.6402,0.071474155,0
4.038,8.59,7.364,0.025,0.125,0.178,0.073,43.60022,0.072090041,c6,43.60022,0.072090041,0
4.365,17.442,8.543,-0.008,0.111,-0.169,0.208,47.56024,0.074134325,c6,47.56024,0.074134325,0
-0.547,6.384,2.703,0.026,0.03,0.0,0.144,51.56024,0.074134325,c6,51.56024,0.074134325,0
1.514,6.23,5.657,0.089,0.047,0.012,0.115,55.52026,0.07521507,c6,55.52026,0.07521507,0
1.363,2.27,3.177,0.036,0.008,0.028,0.09,59.48028,0.076295816,c6,59.48028,0.076295816,0
-0.045,-5.402,-3.845,0.008,0.201,0.033,0.108,63.4403,0.077376562,c6,63.4403,0.077376562,0
-2.666,2.514,0.27,-0.239,-0.13,-0.2,0.102,67.40032,0.078457307,c6,67.40032,0.078457307,0
5.994,9.34,-2.156,0.068,-0.006,-0.055,0.118,71.36034,0.079538053,c6,71.36034,0.079538053,0
1.855,-3.393,7.757,0.053,-0.032,0.224,0.099,75.32036,0.080618799,c6,75.32036,0.080618799,0
-2.482,5.545,-3.619,-0.107,-0.069,-0.242,0.139,79.28038,0.081699544,c6,79.28038,0.081699544,0
2.922,-0.132,11.885,0.028,0.169,0.1,0.105,83.2404,0.08278029,c6,83.2404,0.08278029,0
-2.724,4.172,3.694,-0.058,-0.203,-0.074,0.066,87.20042,0.083617492,c6,87.20042,0.083617492,0
1.646,-2.214,6.045,-0.095,-0.045,0.114,0.141,91.16044,0.084454693,c6,91.16044,0.084454693,0
6.891,0.507,-1.9,0.057,0.042,0.116,0.141,95.16044,0.084454693,c6,95.16044,0.084454693,0
6.824,3.998,12.555,-0.023,0.082,0.048,0.095,99.12046,0.085291895,c6,99.12046,0.085291895,0
8.472,5.823,-2.544,-0.009,0.066,0.082,0.088,103.08048,0.086129097,c6,103.08048,0.086129097,0
8.195,14.934,7.502,0.103,0.135,0.127,0.105,107.0405,0.086966298,c6,107.0405,0.086966298,0
2.076,2.18,-2.338,-0.051,-0.075,-0.131,0.124,111.00052,0.0878035,c6,111.00052,0.0878035,0
4.773,15.3,9.17,0.073,0.15,0.124,0.127,114.96054,0.088640702,c6,114.96054,0.088640702,0
5.413,13.706,6.679,0.05,0.108,-0.055,0.113,118.92056,0.089477904,c6,118.92056,0.089477904,0
4.073,-0.21,12.701,-0.061,-0.226,-0.017,0.089,122.88058,0.090315105,c6,122.88058,0.090315105,0
13.412,-2.313,-0.037,-0.037,-0.278,-0.089,0.131,126.8406,0.091152307,c6,126.8406,0.091152307,0
0.701,-2.82,6.332,-0.018,-0.169,0.082,0.096,130.80062,0.091989509,c6,130.80062,0.091989509,0
-0.068,-0.284,4.729,-0.003,-0.355,-0.059,0.183,134.76064,0.09282671,c6,134.76064,0.09282671,0
6.568,7.926,0.291,-0.091,-0.063,-0.014,0.174,138.76064,0.09282671,c6,138.76064,0.09282671,0
4.147,0.626,-0.586,-0.133,0.106,0.045,0.087,142.72066,0.09325202,c6,142.72066,0.09325202,0
3.572,7.361,10.71,0.022,-0.004,-0.024,0.082,146.68068,0.09367733,c6,146.68068,0.09367733,0
2.12,2.135,9.014,-0.128,-0.236,-0.192,0.093,150.6407,0.09410264,c6,150.6407,0.09410264,0
10.677,4.758,-1.154,-0.171,-0.118,-0.056,0.111,154.60072,0.094527951,c6,154.60072,0.094527951,0
8.812,6.543,1.093,0.062,0.122,-0.098,0.099,158.56074,0.094953261,c6,158.56074,0.094953261,0
10.818,0.631,-0.924,-0.041,-0.087,0.058,0.118,162.52076,0.095378571,c6,162.52076,0.095378571,0
3.801,-0.434,8.409,-0.13,-0.155,-0.045,0.089,166.48078,0.095803881,c6,166.48078,0.095803881,0
-2.385,5.119,9.251,-0.027,-0.288,0.045,0.081,170.4408,0.096229191,c6,170.4408,0.096229191,0
6.02,-5.168,-1.294,-0.045,-0.018,0.236,0.084,174.40082,0.096654501,c6,174.40082,0.096654501,0
3.571,2.476,-1.997,-0.027,0.132,0.055,0.175,178.36084,0.097079811,c6,178.36084,0.097079811,0
3.619,2.213,8.077,-0.128,-0.141,-0.048,0.135,182.36084,0.097079811,c6,182.36084,0.097079811,0
6.18,7.626,4.9,0.099,0.262,0.122,0.096,186.32086,0.097505121,c6,186.32086,0.097505121,0
6.013,3.275,0.276,-0.11,-0.001,-0.088,0.08,190.28088,0.097930431,c6,190.28088,0.097930431,0
3.707,9.066,9.851,0.114,0.101,0.06,0.097,194.2409,0.098355741,c6,194.2409,0.098355741,0
4.516,5.084,14.601,-0.104,0.067,0.129,0.098,198.20092,0.098781051,c6,198.20092,0.098781051,0
9.34,12.641,2.972,0.051,0.034,-0.096,0.111,202.16094,0.099206361,c6,202.16094,0.099206361,0
6.399,-5.62,-2.147,0.028,-0.048,0.198,0.098,206.12096,0.099631671,c6,206.12096,0.099631671,0
-0.42,11.432,-3.44,-0.081,0.199,-0.126,0.094,210.08098,0.100056981,c6,210.08098,0.100056981,0
